Date,Source,Currency,ExchangeRate
1-Jan-23,USD,GBP,0.826446
2-Jan-23,USD,GBP,0.82904
3-Jan-23,USD,GBP,0.835515
4-Jan-23,USD,GBP,0.82931
5-Jan-23,USD,GBP,0.839571
6-Jan-23,USD,GBP,0.826925
7-Jan-23,USD,GBP,0.826925
8-Jan-23,USD,GBP,0.825395
9-Jan-23,USD,GBP,0.82058
10-Jan-23,USD,GBP,0.822785
11-Jan-23,USD,GBP,0.822501
12-Jan-23,USD,GBP,0.818475
13-Jan-23,USD,GBP,0.817595
14-Jan-23,USD,GBP,0.817595
15-Jan-23,USD,GBP,0.817955
16-Jan-23,USD,GBP,0.819215
17-Jan-23,USD,GBP,0.814205
18-Jan-23,USD,GBP,0.80975
19-Jan-23,USD,GBP,0.80685
20-Jan-23,USD,GBP,0.807168
21-Jan-23,USD,GBP,0.807168
22-Jan-23,USD,GBP,0.8061
23-Jan-23,USD,GBP,0.807715
24-Jan-23,USD,GBP,0.811125
25-Jan-23,USD,GBP,0.80569
26-Jan-23,USD,GBP,0.805502
27-Jan-23,USD,GBP,0.807689
28-Jan-23,USD,GBP,0.807689
29-Jan-23,USD,GBP,0.806494
30-Jan-23,USD,GBP,0.809755
31-Jan-23,USD,GBP,0.81237
1-Feb-23,USD,GBP,0.807325
2-Feb-23,USD,GBP,0.818197
3-Feb-23,USD,GBP,0.830013
4-Feb-23,USD,GBP,0.829566
5-Feb-23,USD,GBP,0.830275
6-Feb-23,USD,GBP,0.83154
7-Feb-23,USD,GBP,0.82963
8-Feb-23,USD,GBP,0.828445
9-Feb-23,USD,GBP,0.82535
10-Feb-23,USD,GBP,0.829119
11-Feb-23,USD,GBP,0.828912
12-Feb-23,USD,GBP,0.829699
13-Feb-23,USD,GBP,0.822945
14-Feb-23,USD,GBP,0.821475
15-Feb-23,USD,GBP,0.83069
16-Feb-23,USD,GBP,0.835075
17-Feb-23,USD,GBP,0.83022
18-Feb-23,USD,GBP,0.830289
19-Feb-23,USD,GBP,0.83126
20-Feb-23,USD,GBP,0.830695
21-Feb-23,USD,GBP,0.82585
22-Feb-23,USD,GBP,0.83006
23-Feb-23,USD,GBP,0.83216
24-Feb-23,USD,GBP,0.83717
25-Feb-23,USD,GBP,0.837065
26-Feb-23,USD,GBP,0.836725
27-Feb-23,USD,GBP,0.829125
28-Feb-23,USD,GBP,0.831075
1-Mar-23,USD,GBP,0.831485
2-Mar-23,USD,GBP,0.836775
3-Mar-23,USD,GBP,0.83091
4-Mar-23,USD,GBP,0.83091
5-Mar-23,USD,GBP,0.831285
6-Mar-23,USD,GBP,0.83147
7-Mar-23,USD,GBP,0.84548
8-Mar-23,USD,GBP,0.843925
9-Mar-23,USD,GBP,0.838815
10-Mar-23,USD,GBP,0.830979
11-Mar-23,USD,GBP,0.830979
12-Mar-23,USD,GBP,0.827965
13-Mar-23,USD,GBP,0.82165
14-Mar-23,USD,GBP,0.82297
15-Mar-23,USD,GBP,0.828615
16-Mar-23,USD,GBP,0.82578
17-Mar-23,USD,GBP,0.820883
18-Mar-23,USD,GBP,0.821187
19-Mar-23,USD,GBP,0.820569
20-Mar-23,USD,GBP,0.814765
21-Mar-23,USD,GBP,0.818045
22-Mar-23,USD,GBP,0.814399
23-Mar-23,USD,GBP,0.814239
24-Mar-23,USD,GBP,0.817862
25-Mar-23,USD,GBP,0.817862
26-Mar-23,USD,GBP,0.81676
27-Mar-23,USD,GBP,0.813215
28-Mar-23,USD,GBP,0.81112
29-Mar-23,USD,GBP,0.81225
30-Mar-23,USD,GBP,0.807305
31-Mar-23,USD,GBP,0.81011
1-Apr-23,USD,GBP,0.810045
2-Apr-23,USD,GBP,0.813715
3-Apr-23,USD,GBP,0.80499
4-Apr-23,USD,GBP,0.80015
5-Apr-23,USD,GBP,0.8024
6-Apr-23,USD,GBP,0.804005
7-Apr-23,USD,GBP,0.805283
8-Apr-23,USD,GBP,0.805088
9-Apr-23,USD,GBP,0.80451
10-Apr-23,USD,GBP,0.80703
11-Apr-23,USD,GBP,0.80448
12-Apr-23,USD,GBP,0.80049
13-Apr-23,USD,GBP,0.79845
14-Apr-23,USD,GBP,0.804904
15-Apr-23,USD,GBP,0.804959
16-Apr-23,USD,GBP,0.80648
17-Apr-23,USD,GBP,0.808085
18-Apr-23,USD,GBP,0.80475
19-Apr-23,USD,GBP,0.80461
20-Apr-23,USD,GBP,0.803729
21-Apr-23,USD,GBP,0.80415
22-Apr-23,USD,GBP,0.804182
23-Apr-23,USD,GBP,0.80335
24-Apr-23,USD,GBP,0.800064
25-Apr-23,USD,GBP,0.805485
26-Apr-23,USD,GBP,0.80189
27-Apr-23,USD,GBP,0.800181
28-Apr-23,USD,GBP,0.795608
29-Apr-23,USD,GBP,0.79526
30-Apr-23,USD,GBP,0.796365
1-May-23,USD,GBP,0.80105
2-May-23,USD,GBP,0.80155
3-May-23,USD,GBP,0.79564
4-May-23,USD,GBP,0.79473
5-May-23,USD,GBP,0.791202
6-May-23,USD,GBP,0.791202
7-May-23,USD,GBP,0.79176
8-May-23,USD,GBP,0.79288
9-May-23,USD,GBP,0.79213
10-May-23,USD,GBP,0.792016
11-May-23,USD,GBP,0.79951
12-May-23,USD,GBP,0.803084
13-May-23,USD,GBP,0.8026
14-May-23,USD,GBP,0.80318
15-May-23,USD,GBP,0.79842
16-May-23,USD,GBP,0.80105
17-May-23,USD,GBP,0.801131
18-May-23,USD,GBP,0.805689
19-May-23,USD,GBP,0.803277
20-May-23,USD,GBP,0.803439
21-May-23,USD,GBP,0.80253
22-May-23,USD,GBP,0.80425
23-May-23,USD,GBP,0.80536
24-May-23,USD,GBP,0.80837
25-May-23,USD,GBP,0.81183
26-May-23,USD,GBP,0.809913
27-May-23,USD,GBP,0.809979
28-May-23,USD,GBP,0.80995
29-May-23,USD,GBP,0.809796
30-May-23,USD,GBP,0.805715
31-May-23,USD,GBP,0.80345
1-Jun-23,USD,GBP,0.798375
2-Jun-23,USD,GBP,0.803084
3-Jun-23,USD,GBP,0.803181
4-Jun-23,USD,GBP,0.80453
5-Jun-23,USD,GBP,0.80434
6-Jun-23,USD,GBP,0.80463
7-Jun-23,USD,GBP,0.80361
8-Jun-23,USD,GBP,0.79624
9-Jun-23,USD,GBP,0.795171
10-Jun-23,USD,GBP,0.795513
11-Jun-23,USD,GBP,0.794885
12-Jun-23,USD,GBP,0.79905
13-Jun-23,USD,GBP,0.79325
14-Jun-23,USD,GBP,0.789245
15-Jun-23,USD,GBP,0.782155
16-Jun-23,USD,GBP,0.779788
17-Jun-23,USD,GBP,0.779788
18-Jun-23,USD,GBP,0.77945
19-Jun-23,USD,GBP,0.7816
20-Jun-23,USD,GBP,0.783401
21-Jun-23,USD,GBP,0.782991
22-Jun-23,USD,GBP,0.78452
23-Jun-23,USD,GBP,0.786535
24-Jun-23,USD,GBP,0.786535
25-Jun-23,USD,GBP,0.785602
26-Jun-23,USD,GBP,0.78669
27-Jun-23,USD,GBP,0.78467
28-Jun-23,USD,GBP,0.79101
29-Jun-23,USD,GBP,0.792765
30-Jun-23,USD,GBP,0.788626
1-Jul-23,USD,GBP,0.786999
2-Jul-23,USD,GBP,0.78785
3-Jul-23,USD,GBP,0.78787
4-Jul-23,USD,GBP,0.78634
5-Jul-23,USD,GBP,0.787149
6-Jul-23,USD,GBP,0.78479
7-Jul-23,USD,GBP,0.778818
8-Jul-23,USD,GBP,0.778907
9-Jul-23,USD,GBP,0.778905
10-Jul-23,USD,GBP,0.777345
11-Jul-23,USD,GBP,0.77314
12-Jul-23,USD,GBP,0.769475
13-Jul-23,USD,GBP,0.76174
14-Jul-23,USD,GBP,0.763825
15-Jul-23,USD,GBP,0.763884
16-Jul-23,USD,GBP,0.76396
17-Jul-23,USD,GBP,0.765035
18-Jul-23,USD,GBP,0.767195
19-Jul-23,USD,GBP,0.772935
20-Jul-23,USD,GBP,0.77688
21-Jul-23,USD,GBP,0.777968
22-Jul-23,USD,GBP,0.777847
